pm2_5,pm10,no2,so2,co,o3,temperature_c,air_quality
36,262,65,39,3.47,108,34.0,Unhealthy for Sensitive
42,244,75,46,5.39,100,32.1,Unhealthy for Sensitive
21,125,74,13,4.45,52,20.8,Moderate
46,216,79,29,3.79,83,17.8,Unhealthy for Sensitive
264,394,144,95,9.87,149,33.0,Very Unhealthy
67,364,104,68,6.96,128,32.7,Unhealthy
259,403,131,84,9.83,135,36.0,Very Unhealthy
50,141,73,28,5.03,77,21.4,Unhealthy for Sensitive
47,179,102,61,4.15,91,28.4,Unhealthy for Sensitive
44,141,82,46,4.38,104,24.7,Unhealthy for Sensitive
6,38,15,4,0.33,16,19.4,Good
13,20,31,12,1.49,10,15.6,Good
45,104,84,41,5.72,101,23.5,Unhealthy for Sensitive
40,188,59,47,5.78,117,37.1,Unhealthy for Sensitive
5,155,67,39,3.35,69,25.0,Moderate
23,153,59,32,4.1,44,24.9,Moderate
79,420,146,89,10.0,150,38.7,Very Unhealthy
176,376,129,91,10.0,124,25.1,Very Unhealthy
268,304,133,92,9.43,132,39.4,Very Unhealthy
10,58,8,16,1.96,10,15.9,Good
147,345,143,93,9.03,128,32.5,Very Unhealthy
300,400,126,91,9.01,147,30.8,Very Unhealthy
40,199,55,58,4.82,117,35.9,Unhealthy for Sensitive
138,378,125,88,10.0,150,32.9,Very Unhealthy
45,167,67,53,4.09,105,28.2,Very Unhealthy
173,394,127,94,7.91,133,35.4,Very Unhealthy
11,37,48,40,4.19,72,25.8,Moderate
118,362,125,84,7.73,117,32.6,Unhealthy
168,277,103,78,7.48,113,42.9,Unhealthy
11,74,30,19,4.49,64,20.0,Unhealthy
300,363,133,94,9.75,132,35.0,Very Unhealthy
38,214,72,67,4.79,66,23.8,Unhealthy for Sensitive
58,203,71,39,5.41,73,28.5,Unhealthy for Sensitive
134,276,122,55,7.25,141,34.0,Unhealthy
72,255,139,62,8.14,91,33.5,Unhealthy
33,98,57,34,2.18,50,24.1,Moderate
17,315,91,82,7.06,123,30.9,Unhealthy
53,207,85,62,5.68,114,20.0,Unhealthy for Sensitive
18,125,46,33,3.67,45,21.6,Moderate
135,306,121,82,9.83,137,32.2,Very Unhealthy
29,61,49,34,2.1,54,25.7,Moderate
22,125,47,38,2.38,39,24.9,Moderate
16,63,34,10,5.58,68,27.3,Very Unhealthy
18,59,18,35,1.9,82,22.0,Moderate
8,10,29,7,1.22,27,24.6,Good
89,308,118,67,8.2,149,42.8,Unhealthy
48,206,78,50,6.03,69,27.7,Unhealthy for Sensitive
18,104,52,29,3.64,32,21.8,Moderate
76,303,101,70,7.79,121,30.2,Unhealthy
95,311,105,76,6.09,91,22.1,Unhealthy
13,115,41,36,4.34,82,29.0,Moderate
8,27,14,22,2.13,10,18.9,Good
10,122,65,24,2.25,62,33.6,Moderate
125,276,122,85,7.43,113,32.9,Unhealthy
5,126,70,46,2.75,69,22.4,Moderate
5,45,14,20,1.6,16,18.8,Good
41,176,89,59,5.66,75,27.5,Unhealthy for Sensitive
16,132,43,15,4.58,39,20.9,Moderate
228,433,140,92,8.86,134,39.7,Very Unhealthy
30,181,80,37,6.53,120,36.7,Unhealthy for Sensitive
200,385,147,99,8.1,143,33.6,Very Unhealthy
41,276,119,63,7.74,123,31.1,Unhealthy
56,207,53,76,4.97,111,38.7,Unhealthy for Sensitive
81,329,130,86,7.6,129,30.4,Unhealthy
42,251,75,48,5.09,82,21.9,Unhealthy for Sensitive
44,198,121,44,4.18,97,25.0,Unhealthy for Sensitive
157,341,132,62,8.73,147,30.2,Unhealthy
11,65,11,5,1.05,54,30.4,Good
56,181,106,65,6.33,90,29.2,Unhealthy for Sensitive
52,334,110,84,6.46,120,36.3,Unhealthy
79,315,115,82,8.37,141,32.9,Unhealthy
53,249,78,70,5.52,74,32.8,Unhealthy for Sensitive
122,360,107,94,7.3,148,44.4,Unhealthy
62,253,122,92,6.92,119,33.0,Unhealthy
300,450,140,100,9.19,150,34.9,Very Unhealthy
22,119,35,4,2.96,61,20.7,Unhealthy
292,332,147,92,9.83,129,31.9,Very Unhealthy
134,259,104,68,7.71,145,45.0,Unhealthy
153,426,127,86,8.6,130,34.7,Very Unhealthy
6,58,8,3,2.54,26,23.8,Good
51,191,64,35,6.27,80,26.5,Unhealthy for Sensitive
238,415,133,99,8.59,133,33.5,Very Unhealthy
9,31,38,35,2.68,93,37.5,Moderate
11,54,8,5,0.98,17,19.3,Good
21,95,50,26,3.91,49,26.0,Moderate
139,263,116,62,7.26,118,37.9,Unhealthy
31,245,77,45,6.3,64,27.0,Unhealthy for Sensitive
300,338,129,87,9.67,135,32.8,Very Unhealthy
153,241,86,79,8.42,113,28.7,Unhealthy
292,404,150,82,8.79,137,28.1,Unhealthy for Sensitive
25,107,64,36,3.63,84,23.0,Moderate
101,332,124,93,8.67,134,36.5,Unhealthy
25,282,106,66,6.55,111,33.0,Unhealthy
41,148,93,30,5.33,104,24.2,Moderate
152,390,142,88,9.79,150,37.1,Very Unhealthy
56,231,62,61,5.5,69,22.0,Unhealthy for Sensitive
32,212,110,52,4.42,99,25.7,Unhealthy for Sensitive
10,112,19,32,2.89,59,23.3,Moderate
128,418,125,95,9.31,129,36.4,Unhealthy
16,163,77,37,4.11,78,25.9,Moderate
9,71,53,38,3.94,55,22.8,Moderate
35,101,53,49,2.07,70,27.0,Moderate
38,237,78,44,5.37,101,26.2,Unhealthy for Sensitive
183,397,116,96,9.19,147,36.7,Very Unhealthy
105,289,120,73,9.66,135,31.2,Unhealthy
23,95,54,40,4.16,26,15.0,Moderate
88,248,113,81,9.05,133,38.7,Unhealthy
137,398,122,64,7.23,144,28.1,Unhealthy
175,370,141,91,9.38,148,35.9,Very Unhealthy
30,358,102,72,9.6,128,36.8,Unhealthy
15,87,63,36,3.54,69,27.3,Moderate
112,265,103,59,6.25,93,33.0,Unhealthy
25,71,60,29,3.04,32,22.2,Moderate
8,12,26,5,2.17,24,20.7,Good
40,253,48,26,2.67,88,29.1,Unhealthy for Sensitive
38,161,64,29,3.63,54,32.5,Moderate
175,307,115,83,7.84,89,20.5,Unhealthy
48,238,75,57,5.02,108,30.6,Unhealthy for Sensitive
35,235,70,51,4.61,113,34.5,Unhealthy for Sensitive
51,189,71,65,5.07,103,25.4,Unhealthy for Sensitive
33,158,29,30,4.08,86,26.0,Moderate
72,389,125,72,6.65,128,35.0,Unhealthy
15,67,65,28,3.67,69,21.6,Moderate
52,248,103,66,6.47,113,35.6,Moderate
16,41,50,28,2.88,69,30.3,Moderate
120,329,128,58,8.18,90,30.7,Unhealthy
54,177,80,42,6.5,110,29.9,Unhealthy for Sensitive
46,177,61,31,5.12,73,24.0,Unhealthy for Sensitive
207,439,142,80,9.84,137,28.8,Very Unhealthy
190,406,138,83,9.09,148,32.5,Very Unhealthy
38,197,94,60,5.74,105,32.9,Unhealthy for Sensitive
28,93,47,12,2.88,53,24.8,Moderate
30,138,37,17,3.56,95,20.8,Moderate
22,108,26,14,2.56,70,26.9,Moderate
136,297,115,99,8.03,137,42.1,Unhealthy
29,125,50,23,4.67,51,24.2,Moderate
55,321,105,76,7.93,108,30.8,Unhealthy
159,355,126,84,9.38,145,29.9,Very Unhealthy
25,160,102,43,5.24,96,25.6,Unhealthy for Sensitive
99,232,113,51,9.2,120,33.6,Unhealthy
282,402,139,80,8.24,141,39.6,Very Unhealthy
25,137,70,38,3.94,54,31.5,Moderate
40,216,96,52,5.17,72,24.4,Unhealthy for Sensitive
51,240,86,65,6.2,83,40.0,Unhealthy for Sensitive
10,82,32,25,1.86,45,19.7,Moderate
27,68,40,16,4.24,77,23.6,Moderate
9,98,61,36,3.19,42,26.6,Moderate
146,297,106,99,7.9,129,39.8,Unhealthy
5,20,38,24,0.41,17,20.3,Good
84,350,121,59,8.45,98,23.0,Unhealthy
26,32,67,25,2.29,58,22.1,Moderate
107,280,103,83,7.95,131,33.0,Unhealthy
50,184,59,51,5.22,80,24.8,Unhealthy for Sensitive
18,63,68,24,4.02,89,32.6,Moderate
24,63,37,33,2.12,64,28.6,Moderate
293,418,148,99,9.02,139,39.0,Very Unhealthy
218,428,134,96,10.0,139,37.5,Very Unhealthy
280,448,145,92,8.73,134,32.2,Very Unhealthy
14,34,5,21,2.12,19,23.4,Good
46,185,93,44,6.0,61,19.3,Unhealthy for Sensitive
284,450,148,100,10.0,150,34.8,Very Unhealthy
5,145,22,28,2.12,72,22.5,Moderate
145,262,134,83,6.46,118,35.9,Very Unhealthy
12,69,85,13,4.23,41,18.0,Moderate
16,101,37,10,4.51,43,18.6,Moderate
28,116,55,35,4.14,30,21.2,Moderate
223,417,143,90,8.76,139,36.7,Very Unhealthy
41,207,79,55,6.87,66,19.4,Moderate
209,391,141,100,9.34,150,34.6,Very Unhealthy
34,105,56,32,3.4,58,23.6,Moderate
166,306,109,86,8.47,150,32.8,Unhealthy
25,76,57,30,3.12,79,27.5,Moderate
300,391,142,79,10.0,138,34.2,Very Unhealthy
259,450,128,94,9.28,145,34.1,Very Unhealthy
31,86,31,39,2.25,39,22.8,Moderate
9,106,21,18,1.44,76,24.8,Moderate
40,260,100,67,5.37,90,34.9,Unhealthy for Sensitive
133,290,113,78,8.04,121,34.0,Unhealthy
20,96,48,44,3.71,41,25.1,Moderate
65,394,125,88,5.36,93,27.3,Unhealthy
14,17,30,8,1.33,29,20.7,Good
46,132,63,22,2.29,41,18.0,Moderate
25,226,97,60,5.19,81,32.3,Unhealthy for Sensitive
151,450,134,94,9.64,145,36.1,Very Unhealthy
36,242,66,42,6.11,68,19.6,Unhealthy for Sensitive
10,41,27,6,1.5,10,15.7,Good
143,438,150,97,8.97,130,27.0,Very Unhealthy
10,78,40,41,2.71,38,23.5,Moderate
45,256,35,39,5.35,83,27.4,Unhealthy for Sensitive
37,184,115,47,4.73,67,26.8,Unhealthy for Sensitive
55,224,79,60,3.54,89,31.0,Unhealthy for Sensitive
16,51,41,23,2.67,55,25.3,Moderate
47,220,80,59,5.03,109,32.3,Unhealthy for Sensitive
40,238,112,43,3.38,97,30.1,Unhealthy for Sensitive
263,407,136,97,8.66,150,34.7,Very Unhealthy
18,129,69,33,4.9,77,28.3,Moderate
154,328,106,80,7.92,150,35.2,Unhealthy
5,321,126,62,6.74,121,32.6,Unhealthy
137,305,129,96,6.98,122,32.3,Unhealthy
145,290,125,76,9.12,86,24.7,Unhealthy
37,255,76,41,5.92,87,30.8,Unhealthy for Sensitive
62,300,116,83,7.23,128,27.3,Unhealthy
296,395,132,94,8.96,130,34.3,Very Unhealthy
136,292,103,63,8.81,121,29.8,Unhealthy
38,306,126,83,7.71,121,33.1,Unhealthy
177,437,137,98,9.4,148,33.5,Very Unhealthy
274,388,134,91,8.8,131,29.0,Very Unhealthy
8,135,82,21,3.49,78,23.9,Moderate
156,380,148,90,9.15,136,34.0,Very Unhealthy
97,296,111,89,7.33,120,32.8,Unhealthy for Sensitive
78,343,104,62,8.58,150,44.5,Unhealthy
32,128,48,40,4.05,42,22.5,Moderate
41,200,73,51,4.08,107,25.4,Unhealthy for Sensitive
30,146,58,31,4.29,62,23.5,Moderate
159,310,123,70,8.84,117,31.3,Unhealthy
77,231,124,76,6.68,128,31.2,Unhealthy
61,301,128,79,9.29,117,37.0,Unhealthy
40,204,63,33,6.22,86,25.2,Moderate
38,299,105,65,5.21,83,31.2,Unhealthy for Sensitive
33,288,108,59,8.31,119,28.9,Unhealthy
41,188,71,32,6.58,64,27.6,Unhealthy for Sensitive
22,101,66,22,4.08,62,28.5,Moderate
27,59,36,23,4.27,44,17.1,Moderate
34,92,77,34,1.97,59,32.0,Very Unhealthy
141,267,100,82,6.93,102,33.3,Unhealthy
151,310,112,85,6.97,125,33.2,Unhealthy
8,33,5,11,2.28,20,19.1,Good
56,216,108,58,6.94,68,26.7,Unhealthy for Sensitive
169,417,120,99,10.0,141,39.8,Very Unhealthy
44,222,98,60,7.04,90,28.4,Unhealthy for Sensitive
52,193,78,65,5.85,71,25.7,Unhealthy for Sensitive
196,235,97,98,8.5,113,31.5,Unhealthy
14,30,5,16,0.2,10,21.9,Good
73,281,115,83,7.89,117,32.4,Unhealthy
85,350,117,67,6.92,132,30.7,Unhealthy
46,255,108,64,5.81,110,33.7,Unhealthy
284,450,129,92,9.73,142,38.9,Very Unhealthy
90,335,114,100,8.73,95,30.3,Unhealthy
123,450,145,92,10.0,137,27.6,Very Unhealthy
5,115,72,32,0.98,28,22.5,Moderate
109,307,95,62,9.19,136,40.2,Unhealthy
48,181,88,63,5.25,103,29.8,Unhealthy for Sensitive
49,271,82,37,4.71,42,18.3,Unhealthy for Sensitive
42,235,108,61,6.05,102,25.0,Unhealthy for Sensitive
10,26,30,12,0.48,30,17.8,Good
25,215,106,29,6.8,130,30.7,Unhealthy for Sensitive
21,88,57,9,4.2,35,26.8,Moderate
27,312,115,80,8.19,123,29.4,Unhealthy
194,447,130,100,8.3,140,26.4,Very Unhealthy
119,232,117,58,7.44,138,35.6,Unhealthy
90,390,129,90,9.74,132,30.4,Very Unhealthy
23,43,50,33,4.92,53,19.2,Moderate
16,115,44,10,4.1,73,28.7,Moderate
37,238,63,41,5.83,91,31.6,Unhealthy for Sensitive
49,216,98,34,6.6,113,27.5,Unhealthy for Sensitive
56,321,88,84,7.7,125,30.8,Unhealthy
54,235,70,54,6.15,67,29.0,Unhealthy for Sensitive
7,30,15,8,1.86,23,15.0,Good
45,225,86,67,4.08,84,27.5,Unhealthy for Sensitive
105,283,103,50,7.29,125,38.1,Unhealthy
93,271,130,82,6.22,94,31.5,Unhealthy
39,178,89,45,5.41,81,32.2,Unhealthy for Sensitive
142,311,90,53,8.71,133,31.4,Unhealthy
51,192,96,43,6.63,96,22.0,Unhealthy for Sensitive
28,75,46,14,1.6,65,18.2,Moderate
171,272,109,90,8.19,132,24.4,Unhealthy
27,98,55,17,4.81,41,18.0,Moderate
11,16,5,11,1.28,22,16.1,Good
43,58,68,21,2.41,64,22.9,Moderate
52,168,69,45,7.02,78,26.9,Unhealthy for Sensitive
54,159,75,66,6.1,90,34.8,Unhealthy for Sensitive
15,19,12,14,1.54,28,24.1,Good
10,63,41,8,2.11,58,22.6,Good
38,212,64,54,5.65,109,23.6,Unhealthy for Sensitive
66,318,99,67,8.44,113,28.7,Unhealthy
151,308,123,75,7.05,104,29.2,Unhealthy
162,429,136,97,8.48,135,32.2,Very Unhealthy
30,135,32,20,2.52,57,23.5,Unhealthy for Sensitive
74,301,99,70,8.61,124,32.8,Unhealthy
48,201,48,53,6.03,93,26.8,Unhealthy for Sensitive
33,148,43,18,3.39,50,23.8,Moderate
44,159,58,57,3.93,113,42.6,Unhealthy for Sensitive
41,254,67,38,6.32,84,30.5,Unhealthy for Sensitive
34,211,75,63,6.11,80,30.8,Unhealthy for Sensitive
133,433,130,85,9.08,144,38.0,Very Unhealthy
50,223,88,52,4.2,114,33.5,Very Unhealthy
124,236,114,75,7.16,123,31.5,Unhealthy
169,365,111,61,8.16,150,35.5,Unhealthy for Sensitive
103,372,128,90,9.38,132,29.3,Very Unhealthy
300,450,128,96,8.85,147,31.3,Very Unhealthy
42,149,49,53,6.17,73,30.1,Unhealthy for Sensitive
35,143,91,57,5.38,77,30.5,Unhealthy for Sensitive
7,37,5,19,0.2,35,15.6,Good
122,224,86,58,8.41,134,32.9,Unhealthy
128,302,105,74,6.82,88,25.0,Unhealthy
71,280,113,87,7.36,112,31.0,Unhealthy
39,243,83,61,4.58,95,24.7,Unhealthy for Sensitive
42,249,74,45,6.49,98,35.3,Unhealthy for Sensitive
40,174,29,41,4.23,80,26.7,Moderate
108,380,104,77,6.48,132,39.0,Unhealthy
37,203,80,41,5.51,70,29.0,Unhealthy for Sensitive
259,450,132,90,8.08,132,31.8,Very Unhealthy
5,66,71,34,4.76,57,25.5,Moderate
152,367,144,82,9.69,135,39.0,Very Unhealthy
65,215,60,63,3.7,72,27.9,Unhealthy for Sensitive
35,146,88,32,6.98,91,33.6,Unhealthy for Sensitive
156,318,112,64,8.89,122,35.9,Unhealthy
213,377,130,80,8.8,138,38.8,Very Unhealthy
59,159,86,24,6.07,86,27.9,Unhealthy for Sensitive
63,163,76,55,5.61,63,17.2,Unhealthy for Sensitive
98,344,102,58,7.98,106,32.5,Unhealthy
7,46,11,5,2.01,11,15.0,Good
240,436,139,90,10.0,145,38.7,Very Unhealthy
61,159,77,56,2.87,78,21.9,Unhealthy for Sensitive
152,323,119,65,7.42,97,36.5,Unhealthy
153,301,119,90,9.4,103,29.9,Unhealthy
52,168,73,47,5.32,100,30.6,Unhealthy for Sensitive
54,200,59,66,5.82,90,26.9,Unhealthy for Sensitive
48,247,86,54,3.55,110,32.0,Unhealthy for Sensitive
135,351,96,76,8.37,119,35.8,Unhealthy
39,171,74,34,2.5,50,23.8,Moderate
50,384,127,74,7.51,125,33.5,Unhealthy
32,44,38,21,3.74,65,28.1,Moderate
202,397,149,96,10.0,150,37.8,Very Unhealthy
181,347,89,89,8.72,114,29.3,Unhealthy
109,313,107,58,8.73,107,32.8,Unhealthy
47,227,84,27,3.04,99,26.9,Unhealthy for Sensitive
21,163,51,30,3.57,87,27.8,Moderate
61,391,114,67,8.37,117,24.6,Unhealthy
42,244,83,53,6.64,100,31.9,Unhealthy for Sensitive
189,339,143,98,9.35,138,34.1,Very Unhealthy
29,145,82,47,6.12,62,30.0,Moderate
74,324,93,67,8.23,94,21.7,Unhealthy
58,368,104,83,7.6,131,37.5,Unhealthy
21,46,79,34,3.94,61,27.6,Moderate
54,102,89,64,4.06,118,39.5,Unhealthy for Sensitive
85,281,114,69,7.34,118,33.3,Unhealthy
13,86,43,42,2.58,54,26.7,Moderate
60,224,43,54,4.37,46,24.7,Unhealthy for Sensitive
184,318,126,92,8.3,134,30.9,Very Unhealthy
40,87,79,53,6.99,116,31.0,Unhealthy for Sensitive
172,299,93,92,8.74,114,35.5,Unhealthy
28,311,132,72,7.08,117,33.3,Unhealthy
30,49,34,43,3.05,62,25.0,Moderate
118,284,107,68,6.97,126,38.3,Unhealthy
85,264,84,65,6.6,145,33.5,Unhealthy
128,271,103,61,8.9,111,22.5,Unhealthy
38,157,94,64,6.6,101,24.9,Unhealthy for Sensitive
5,36,17,16,0.77,16,21.2,Good
175,361,141,88,9.28,145,40.2,Very Unhealthy
32,45,49,32,3.23,45,19.9,Moderate
157,348,150,94,8.99,144,33.1,Very Unhealthy
189,344,130,89,7.87,136,26.5,Very Unhealthy
49,178,64,47,6.19,83,29.7,Unhealthy for Sensitive
30,85,51,14,3.43,45,22.0,Moderate
28,78,12,31,3.48,55,23.6,Moderate
23,127,33,35,3.16,53,17.8,Moderate
36,63,52,48,1.63,65,25.6,Moderate
132,314,112,78,7.56,115,25.9,Unhealthy
41,198,69,40,5.03,82,21.8,Unhealthy for Sensitive
35,293,80,33,4.37,75,29.8,Unhealthy for Sensitive
52,183,64,35,6.61,96,27.5,Unhealthy for Sensitive
107,350,109,72,9.04,109,32.0,Unhealthy
63,335,121,76,7.4,115,22.5,Unhealthy
31,149,64,44,3.04,28,15.0,Moderate
52,180,110,68,5.83,113,31.5,Unhealthy for Sensitive
31,143,57,15,4.58,65,23.7,Moderate
97,293,138,72,8.01,137,39.2,Unhealthy
49,211,74,38,7.67,106,23.6,Unhealthy for Sensitive
5,41,41,2,0.51,50,20.8,Good
20,142,57,26,2.1,33,22.9,Moderate
203,390,148,83,10.0,126,34.6,Very Unhealthy
31,130,37,30,2.91,92,33.0,Moderate
248,363,149,89,9.5,148,34.8,Very Unhealthy
131,269,129,72,6.39,130,35.1,Unhealthy
10,44,36,10,0.9,34,26.9,Good
11,24,8,4,0.67,11,18.3,Good
260,433,141,96,9.64,141,41.4,Very Unhealthy
156,283,135,80,6.22,102,32.7,Unhealthy
170,431,132,87,8.73,144,40.1,Very Unhealthy
290,450,150,100,9.79,143,33.7,Very Unhealthy
100,365,135,82,5.76,102,27.8,Unhealthy
165,321,85,79,7.66,109,37.9,Unhealthy
30,179,44,22,2.65,91,25.9,Moderate
37,182,104,63,6.89,102,25.2,Unhealthy for Sensitive
69,257,103,60,6.9,130,32.5,Unhealthy
126,266,101,86,6.19,104,27.0,Unhealthy
80,313,133,51,8.59,124,28.3,Unhealthy
43,168,52,74,6.11,93,32.7,Unhealthy for Sensitive
39,195,56,52,4.9,99,27.5,Unhealthy for Sensitive
37,166,102,51,4.41,53,24.1,Unhealthy for Sensitive
116,261,118,72,7.42,112,31.3,Unhealthy
40,226,93,51,5.96,94,28.1,Unhealthy for Sensitive
111,239,126,69,8.03,141,35.0,Unhealthy
29,53,69,27,4.19,25,27.4,Moderate
106,391,138,87,8.05,133,35.7,Very Unhealthy
135,268,129,79,8.45,112,40.4,Unhealthy
17,113,47,18,1.86,49,17.0,Moderate
23,38,60,21,2.61,56,25.2,Moderate
92,319,111,74,6.52,113,34.8,Unhealthy
178,442,150,85,9.86,147,42.9,Very Unhealthy
8,13,9,11,0.2,62,23.8,Good
23,165,28,31,3.64,67,25.1,Moderate
119,331,137,86,8.31,125,39.4,Unhealthy
261,317,150,100,9.55,140,31.2,Very Unhealthy
15,77,59,51,4.11,59,25.8,Moderate
104,314,92,85,8.42,114,24.4,Unhealthy
74,225,126,67,6.88,145,36.6,Unhealthy
47,263,150,88,8.37,107,33.4,Unhealthy
107,292,123,54,7.11,120,35.3,Unhealthy
276,345,137,98,8.76,140,31.0,Very Unhealthy
25,98,61,27,3.5,74,23.1,Moderate
25,94,71,42,4.97,86,26.0,Moderate
266,340,126,85,9.09,150,36.2,Very Unhealthy
146,361,104,91,8.98,130,41.2,Unhealthy
284,415,127,95,9.68,142,36.3,Very Unhealthy
154,213,135,67,9.74,146,30.2,Unhealthy
204,406,146,100,9.25,147,38.8,Very Unhealthy
128,337,105,60,6.6,129,34.7,Unhealthy
84,286,113,74,7.07,125,31.0,Unhealthy
125,289,99,82,7.48,128,25.4,Unhealthy
38,77,46,30,4.03,60,21.8,Moderate
107,314,120,74,7.46,135,34.0,Unhealthy
74,319,95,66,9.01,126,32.0,Unhealthy
54,167,45,50,5.82,92,33.2,Very Unhealthy
153,264,89,64,7.67,112,29.3,Unhealthy
178,372,144,100,9.57,136,32.0,Very Unhealthy
240,372,142,86,7.88,133,32.8,Moderate
54,193,82,46,4.47,99,25.9,Unhealthy for Sensitive
178,421,140,83,8.22,150,37.4,Very Unhealthy
9,13,42,9,0.94,50,27.5,Good
274,391,148,96,8.27,150,37.1,Very Unhealthy
37,216,17,44,3.83,59,20.3,Moderate
20,82,64,48,3.12,84,29.8,Moderate
41,318,95,81,7.64,134,32.0,Unhealthy
98,344,118,73,8.74,119,32.9,Unhealthy
49,223,86,64,4.85,94,35.1,Unhealthy
30,162,19,19,4.05,45,27.1,Moderate
48,255,91,45,5.56,74,31.1,Unhealthy for Sensitive
56,258,114,91,7.87,86,24.0,Unhealthy
6,118,34,26,2.7,65,15.0,Moderate
241,367,144,85,10.0,134,34.7,Very Unhealthy
47,224,72,61,6.31,85,24.3,Unhealthy for Sensitive
97,297,121,81,7.33,115,28.9,Unhealthy
49,195,68,39,4.59,91,18.5,Good
26,152,46,27,4.07,31,26.2,Unhealthy for Sensitive
13,58,35,28,3.75,89,29.8,Moderate
36,308,86,89,8.06,125,31.2,Unhealthy
5,126,50,12,2.58,87,29.0,Moderate
58,386,126,95,8.1,133,31.4,Unhealthy
196,415,120,96,8.7,129,39.7,Very Unhealthy
24,96,50,20,3.49,70,24.9,Moderate
5,39,16,18,1.71,42,26.2,Good
198,290,121,58,6.87,103,28.1,Unhealthy
10,32,14,8,1.29,25,16.2,Good
45,205,81,55,5.65,87,23.5,Unhealthy for Sensitive
62,357,136,74,7.71,109,30.1,Unhealthy
257,426,140,100,9.51,150,41.0,Very Unhealthy
253,442,147,97,9.49,138,40.2,Unhealthy
259,436,133,94,9.54,139,37.8,Very Unhealthy
50,173,81,40,6.16,74,32.0,Unhealthy for Sensitive
34,63,30,33,3.11,58,25.2,Moderate
51,252,73,58,5.81,77,26.3,Moderate
49,199,95,42,6.1,96,24.6,Unhealthy for Sensitive
35,291,65,45,5.67,90,29.8,Unhealthy
43,197,100,54,5.55,43,17.6,Unhealthy for Sensitive
33,95,35,29,3.17,54,22.8,Moderate
116,348,108,74,6.69,141,34.6,Unhealthy
43,103,79,33,4.84,73,21.2,Unhealthy for Sensitive
141,368,139,90,8.59,140,40.1,Very Unhealthy
40,203,83,52,8.14,73,28.6,Unhealthy for Sensitive
253,402,149,94,9.26,137,33.7,Very Unhealthy
60,200,81,44,7.03,112,28.4,Unhealthy for Sensitive
167,414,139,93,8.57,149,30.7,Very Unhealthy
37,135,73,48,4.68,75,37.4,Unhealthy for Sensitive
8,114,7,12,2.62,66,26.1,Moderate
45,231,63,39,3.36,95,25.5,Unhealthy for Sensitive
154,348,107,84,7.54,88,25.3,Unhealthy
204,390,137,95,10.0,141,33.5,Unhealthy for Sensitive
40,95,38,30,4.83,55,29.3,Moderate
44,232,52,64,4.93,70,30.4,Unhealthy for Sensitive
40,222,96,60,3.75,83,27.0,Unhealthy for Sensitive
207,354,141,80,9.98,150,34.0,Unhealthy
43,177,88,49,3.29,98,34.0,Unhealthy for Sensitive
151,263,100,63,7.72,132,30.2,Unhealthy
44,159,57,40,7.44,76,37.1,Unhealthy for Sensitive
108,266,87,83,7.81,108,27.8,Unhealthy
36,89,42,10,3.54,37,20.4,Moderate
221,439,146,93,10.0,134,33.8,Very Unhealthy
245,450,129,91,8.39,138,31.1,Very Unhealthy
5,43,20,14,0.2,43,23.7,Good
34,124,52,29,1.91,70,28.2,Moderate
140,284,128,61,9.14,108,32.5,Unhealthy
75,222,106,95,6.64,122,34.7,Unhealthy
140,322,127,63,7.28,103,29.1,Unhealthy
109,302,95,75,5.41,111,22.5,Unhealthy
32,140,79,44,2.53,74,22.1,Moderate
18,332,114,86,6.13,127,38.3,Unhealthy
102,305,88,75,7.48,119,35.7,Unhealthy
101,301,101,77,6.89,125,34.1,Unhealthy
60,208,102,67,3.78,93,34.1,Unhealthy for Sensitive
41,250,62,57,4.07,84,32.4,Unhealthy for Sensitive
5,42,14,14,1.49,23,18.6,Moderate
45,233,59,42,7.91,105,29.5,Unhealthy for Sensitive
133,271,132,64,7.69,112,32.8,Unhealthy
37,80,96,23,3.95,36,25.2,Moderate
31,94,58,9,5.25,71,27.5,Moderate
41,208,121,74,8.34,108,20.5,Unhealthy
49,241,87,44,6.01,75,20.3,Unhealthy for Sensitive
68,298,141,82,6.83,100,27.8,Unhealthy
20,18,31,32,3.22,73,33.2,Moderate
179,300,96,64,6.1,111,40.6,Unhealthy
39,193,84,46,5.28,94,25.6,Unhealthy for Sensitive
47,347,114,80,6.76,116,36.3,Unhealthy
142,254,110,73,7.96,122,29.3,Unhealthy
55,209,90,50,8.09,75,33.3,Unhealthy for Sensitive
36,240,54,36,4.5,116,27.8,Unhealthy for Sensitive
258,365,141,88,9.48,133,39.8,Very Unhealthy
24,15,61,6,4.48,67,24.9,Moderate
20,127,13,37,2.19,66,27.5,Moderate
12,153,66,22,4.8,54,23.9,Moderate
52,175,63,29,5.55,56,23.5,Unhealthy for Sensitive
25,128,76,38,3.81,33,18.5,Moderate
129,321,142,97,8.3,150,34.4,Very Unhealthy
26,113,30,26,2.56,54,23.2,Moderate
44,192,73,49,6.48,68,21.9,Unhealthy for Sensitive
188,443,137,81,10.0,133,31.3,Very Unhealthy
41,241,97,79,5.7,87,24.8,Unhealthy for Sensitive
37,270,71,44,5.33,112,26.8,Unhealthy for Sensitive
28,104,53,20,2.22,58,20.7,Moderate
268,424,143,96,9.63,133,33.4,Very Unhealthy
29,125,91,24,3.1,69,29.1,Moderate
210,386,150,95,8.58,141,33.8,Very Unhealthy
27,78,21,19,4.18,68,25.1,Moderate
