Vehicle_Type,Fuel_Type,Emission_Standard,CO,HC,NOx,PM,O2,Lambda,Issue
Car,Petrol,BS6,0.65,326,0.17,0.01,0.77,1.19,EGR Valve Problem
Car,Petrol,BS6,0.56,303,0.24,0.022,0.74,1.04,Turbocharger Issue
Car,Diesel,BS4,0.71,493,0.14,0.014,0.35,0.79,Fuel Injector Issue
Car,Petrol,BS4,0.55,499,0.09,0.014,0.34,0.91,EGR Valve Problem
Car,Diesel,BS4,0.28,154,0.01,0.003,0.46,0.98,Normal
Car,Diesel,BS6,0.36,454,0.14,0.006,0.82,1.01,Spark Plug Issue
Car,Diesel,BS6,0.37,317,0.17,0.023,0.66,1.0,Turbocharger Issue
Car,Petrol,BS4,0.44,317,0.17,0.015,0.57,0.96,EGR Valve Problem
Car,Diesel,BS4,0.38,92,0.03,0.001,0.36,0.94,Normal
Car,Diesel,BS4,0.42,290,0.23,0.02,0.73,0.93,Injector Problem
Car,Diesel,BS6,0.51,674,0.12,0.006,0.54,1.19,Engine Misfire
Car,Petrol,BS6,0.68,254,0.17,0.004,0.59,1.06,EGR Valve Problem
Car,Diesel,BS6,0.6,296,0.18,0.013,0.49,0.85,Rich Fuel Mixture
Car,Petrol,BS4,0.53,642,0.08,0.004,0.84,1.14,Engine Misfire
Car,Petrol,BS6,0.58,465,0.2,0.024,0.51,0.98,Injector Problem
Car,Diesel,BS4,0.48,478,0.12,0.011,0.45,0.88,Injector Problem
Car,Petrol,BS4,0.78,499,0.13,0.005,0.64,1.2,Engine Misfire
Car,Petrol,BS6,0.65,513,0.07,0.008,0.59,1.26,Spark Plug Issue
Car,Petrol,BS4,0.54,358,0.23,0.022,0.41,0.97,Turbocharger Issue
Car,Diesel,BS4,0.47,262,0.11,0.018,0.61,0.98,Turbocharger Issue
Car,Petrol,BS6,0.58,357,0.09,0.007,0.54,0.96,EGR Valve Problem
Car,Diesel,BS4,0.67,463,0.14,0.01,0.81,1.04,Spark Plug Issue
Car,Diesel,BS6,0.48,414,0.12,0.02,0.5,1.1,Turbocharger Issue
Car,Petrol,BS6,0.6,425,0.2,0.014,0.61,0.93,Turbocharger Issue
Car,Petrol,BS4,0.87,487,0.17,0.014,0.36,0.88,Fuel Injector Issue
Car,Petrol,BS6,0.56,621,0.08,0.007,0.86,1.15,Engine Misfire
Car,Diesel,BS6,0.45,290,0.14,0.01,0.41,0.98,DPF Clogging
Car,Diesel,BS6,0.68,416,0.17,0.007,0.34,0.8,Fuel Injector Issue
Car,Diesel,BS6,0.65,254,0.13,0.024,0.41,1.07,Turbocharger Issue
Car,Diesel,BS4,0.47,417,0.15,0.022,0.81,0.9,Injector Problem
Car,Petrol,BS4,0.6,355,0.12,0.012,0.72,1.13,DPF Clogging
Car,Petrol,BS6,0.5,273,0.18,0.013,0.51,1.18,EGR Valve Problem
Car,Diesel,BS4,0.78,589,0.16,0.009,0.38,0.84,Rich Fuel Mixture
Car,Diesel,BS4,0.45,337,0.09,0.004,0.69,1.06,Air Filter Clogged
Car,Diesel,BS4,0.71,501,0.08,0.007,0.67,1.28,Engine Misfire
Car,Petrol,BS4,0.62,307,0.12,0.019,0.25,0.9,Rich Fuel Mixture
Car,Diesel,BS6,0.7,530,0.18,0.02,0.36,0.84,Fuel Injector Issue
Car,Petrol,BS6,0.62,633,0.1,0.005,0.6,1.09,Engine Misfire
Car,Petrol,BS4,0.58,310,0.14,0.01,0.5,1.03,Injector Problem
Car,Diesel,BS6,0.64,426,0.19,0.024,0.64,0.96,Turbocharger Issue
Car,Diesel,BS4,0.57,469,0.16,0.006,0.36,0.82,Fuel Injector Issue
Car,Diesel,BS4,0.63,234,0.15,0.01,0.62,1.2,DPF Clogging
Car,Petrol,BS6,0.85,337,0.18,0.015,0.38,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.85,462,0.08,0.008,0.46,0.91,Fuel Injector Issue
Car,Diesel,BS4,0.66,216,0.11,0.012,0.31,1.17,EGR Valve Problem
Car,Diesel,BS4,0.39,475,0.14,0.004,0.55,1.2,Spark Plug Issue
Car,Diesel,BS6,0.21,78,0.02,0.003,0.64,1.04,Normal
Car,Diesel,BS6,0.59,441,0.1,0.005,0.66,1.19,Spark Plug Issue
Car,Diesel,BS4,0.55,524,0.09,0.003,0.83,1.18,Spark Plug Issue
Car,Petrol,BS4,0.47,375,0.17,0.022,0.56,1.11,Injector Problem
Car,Petrol,BS4,0.24,146,0.02,0.003,0.67,0.98,Normal
Car,Petrol,BS4,0.58,328,0.22,0.021,0.6,0.95,Turbocharger Issue
Car,Petrol,BS4,0.61,315,0.18,0.006,0.39,1.02,DPF Clogging
Car,Diesel,BS6,0.43,257,0.11,0.012,0.44,1.03,Air Filter Clogged
Car,Petrol,BS6,0.51,322,0.16,0.01,0.77,1.1,EGR Valve Problem
Car,Petrol,BS6,0.6,391,0.2,0.014,0.4,0.92,Injector Problem
Car,Diesel,BS6,0.59,283,0.23,0.021,0.56,0.93,Injector Problem
Car,Petrol,BS6,0.17,118,0.02,0.001,0.56,0.97,Normal
Car,Petrol,BS6,0.78,368,0.16,0.011,0.27,0.72,Fuel Injector Issue
Car,Diesel,BS6,0.44,393,0.18,0.011,0.8,1.11,Air Filter Clogged
Car,Petrol,BS6,0.73,395,0.13,0.007,0.36,0.89,Rich Fuel Mixture
Car,Petrol,BS6,0.57,433,0.15,0.016,0.27,0.85,Rich Fuel Mixture
Car,Diesel,BS4,0.4,675,0.07,0.003,0.57,1.04,Spark Plug Issue
Car,Petrol,BS6,0.63,462,0.16,0.012,0.43,0.8,Fuel Injector Issue
Car,Diesel,BS6,0.67,326,0.12,0.008,0.65,0.98,DPF Clogging
Car,Petrol,BS4,0.51,583,0.13,0.013,0.24,0.9,Fuel Injector Issue
Car,Petrol,BS4,0.73,689,0.14,0.008,0.73,1.06,Spark Plug Issue
Car,Diesel,BS6,0.77,431,0.15,0.01,0.79,1.14,Engine Misfire
Car,Diesel,BS6,0.41,269,0.14,0.011,0.33,1.09,Air Filter Clogged
Car,Petrol,BS6,0.24,128,0.03,0.003,0.64,0.98,Normal
Car,Diesel,BS4,0.7,473,0.09,0.006,0.55,1.05,Engine Misfire
Car,Petrol,BS6,0.69,450,0.1,0.011,0.76,1.0,EGR Valve Problem
Car,Petrol,BS6,0.66,387,0.1,0.022,0.6,0.86,Injector Problem
Car,Petrol,BS6,0.58,354,0.12,0.005,0.32,0.74,Fuel Injector Issue
Car,Diesel,BS4,0.68,676,0.08,0.008,0.74,1.0,Engine Misfire
Car,Petrol,BS6,0.53,360,0.13,0.01,0.44,0.8,Fuel Injector Issue
Car,Petrol,BS4,0.48,255,0.18,0.013,0.47,0.91,Air Filter Clogged
Car,Diesel,BS6,0.48,399,0.13,0.015,0.48,1.02,DPF Clogging
Car,Diesel,BS4,0.82,472,0.15,0.018,0.46,0.87,Fuel Injector Issue
Car,Diesel,BS4,0.47,284,0.16,0.013,0.64,1.0,EGR Valve Problem
Car,Diesel,BS6,0.72,467,0.12,0.005,0.58,1.2,Engine Misfire
Car,Petrol,BS6,0.36,120,0.02,0.002,0.53,0.96,Normal
Car,Petrol,BS6,0.71,244,0.14,0.008,0.5,0.97,Air Filter Clogged
Car,Petrol,BS6,0.76,557,0.05,0.004,0.84,1.07,Engine Misfire
Car,Petrol,BS6,0.67,328,0.12,0.023,0.7,1.02,Injector Problem
Car,Petrol,BS6,0.39,485,0.14,0.008,0.81,1.04,Engine Misfire
Car,Diesel,BS4,0.68,331,0.13,0.013,0.75,1.08,Air Filter Clogged
Car,Diesel,BS4,0.59,327,0.1,0.012,0.5,0.95,Turbocharger Issue
Car,Petrol,BS4,0.67,544,0.12,0.018,0.42,0.94,Fuel Injector Issue
Car,Petrol,BS6,0.68,318,0.13,0.016,0.47,0.83,Fuel Injector Issue
Car,Diesel,BS6,0.89,300,0.17,0.02,0.41,0.8,Fuel Injector Issue
Car,Petrol,BS6,0.74,566,0.09,0.011,0.44,0.96,Fuel Injector Issue
Car,Petrol,BS6,0.56,279,0.14,0.006,0.77,1.18,DPF Clogging
Car,Petrol,BS6,0.46,573,0.13,0.009,0.52,1.21,Engine Misfire
Car,Petrol,BS6,0.56,506,0.19,0.011,0.4,1.15,DPF Clogging
Car,Petrol,BS4,0.63,434,0.1,0.009,0.31,0.9,EGR Valve Problem
Car,Petrol,BS6,0.42,496,0.23,0.015,0.57,0.96,Injector Problem
Car,Petrol,BS6,0.62,461,0.15,0.007,0.73,0.96,Air Filter Clogged
Car,Petrol,BS6,0.34,528,0.11,0.008,0.72,1.03,Spark Plug Issue
Car,Petrol,BS4,0.58,507,0.12,0.003,0.83,1.24,Spark Plug Issue
Car,Diesel,BS6,0.44,482,0.12,0.004,0.71,1.08,DPF Clogging
Car,Diesel,BS6,0.79,497,0.06,0.004,0.65,1.13,Engine Misfire
Car,Petrol,BS4,0.69,206,0.12,0.009,0.36,0.96,Air Filter Clogged
Car,Diesel,BS6,0.77,507,0.12,0.014,0.33,0.92,Rich Fuel Mixture
Car,Diesel,BS6,0.44,211,0.08,0.012,0.63,0.95,EGR Valve Problem
Car,Diesel,BS4,0.66,338,0.2,0.018,0.78,0.94,Turbocharger Issue
Car,Petrol,BS6,0.49,455,0.1,0.014,0.52,1.01,Turbocharger Issue
Car,Diesel,BS4,0.84,350,0.12,0.01,0.41,0.92,Rich Fuel Mixture
Car,Petrol,BS4,0.45,351,0.2,0.019,0.65,0.9,Injector Problem
Car,Petrol,BS4,0.5,508,0.1,0.017,0.31,0.76,Rich Fuel Mixture
Car,Diesel,BS6,0.63,433,0.1,0.011,0.43,0.72,Rich Fuel Mixture
Car,Diesel,BS6,0.61,507,0.16,0.013,0.33,0.93,Fuel Injector Issue
Car,Petrol,BS6,0.4,117,0.02,0.003,0.42,0.98,Normal
Car,Diesel,BS6,0.61,485,0.09,0.012,0.44,1.1,DPF Clogging
Car,Diesel,BS6,0.62,243,0.18,0.009,0.78,1.18,EGR Valve Problem
Car,Diesel,BS6,0.41,447,0.16,0.008,0.4,0.99,EGR Valve Problem
Car,Petrol,BS4,0.23,113,0.04,0.002,0.44,0.97,Normal
Car,Diesel,BS6,0.26,52,0.03,0.002,0.6,0.98,Normal
Car,Diesel,BS4,0.55,458,0.12,0.006,0.68,0.98,EGR Valve Problem
Car,Petrol,BS4,0.67,322,0.13,0.007,0.28,0.86,Rich Fuel Mixture
Car,Petrol,BS4,0.11,121,0.05,0.001,0.58,0.98,Normal
Car,Petrol,BS6,0.46,578,0.09,0.002,0.61,1.14,Spark Plug Issue
Car,Petrol,BS4,0.61,439,0.1,0.005,0.57,1.13,EGR Valve Problem
Car,Diesel,BS6,0.61,427,0.15,0.006,0.51,0.95,DPF Clogging
Car,Petrol,BS4,0.57,324,0.1,0.008,0.74,1.04,DPF Clogging
Car,Petrol,BS4,0.59,569,0.1,0.002,0.87,1.11,Engine Misfire
Car,Petrol,BS4,0.78,452,0.13,0.01,0.48,0.87,Rich Fuel Mixture
Car,Petrol,BS6,0.69,308,0.09,0.01,0.31,1.04,DPF Clogging
Car,Petrol,BS6,0.44,319,0.11,0.011,0.75,1.2,DPF Clogging
Car,Petrol,BS6,0.81,500,0.14,0.008,0.47,0.94,Fuel Injector Issue
Car,Petrol,BS6,0.55,531,0.14,0.005,0.35,0.74,Rich Fuel Mixture
Car,Petrol,BS6,0.86,356,0.13,0.01,0.23,0.78,Rich Fuel Mixture
Car,Petrol,BS4,0.51,466,0.1,0.003,0.54,1.13,Spark Plug Issue
Car,Petrol,BS4,0.53,355,0.16,0.023,0.66,1.01,Turbocharger Issue
Car,Diesel,BS6,0.46,304,0.16,0.013,0.46,1.05,Turbocharger Issue
Car,Diesel,BS4,0.64,423,0.11,0.008,0.32,0.74,Rich Fuel Mixture
Car,Diesel,BS4,0.61,430,0.07,0.005,0.89,1.14,Engine Misfire
Car,Petrol,BS4,0.5,330,0.17,0.012,0.4,1.01,DPF Clogging
Car,Diesel,BS6,0.83,520,0.12,0.018,0.43,0.81,Rich Fuel Mixture
Car,Diesel,BS6,0.44,590,0.09,0.003,0.78,1.23,Engine Misfire
Car,Petrol,BS6,0.72,395,0.11,0.017,0.42,0.93,Rich Fuel Mixture
Car,Diesel,BS6,0.53,649,0.14,0.005,0.81,1.2,Spark Plug Issue
Car,Petrol,BS6,0.53,279,0.2,0.004,0.74,1.09,Air Filter Clogged
Car,Petrol,BS4,0.57,508,0.17,0.016,0.26,0.85,Fuel Injector Issue
Car,Diesel,BS6,0.63,543,0.16,0.011,0.22,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.46,366,0.18,0.021,0.73,0.86,Injector Problem
Car,Petrol,BS4,0.46,359,0.12,0.004,0.43,1.06,EGR Valve Problem
Car,Petrol,BS4,0.62,326,0.13,0.007,0.75,1.1,DPF Clogging
Car,Petrol,BS4,0.49,375,0.08,0.005,0.47,1.0,DPF Clogging
Car,Petrol,BS4,0.2,164,0.02,0.001,0.36,0.97,Normal
Car,Diesel,BS4,0.42,633,0.14,0.006,0.8,1.2,Engine Misfire
Car,Petrol,BS6,0.41,463,0.15,0.012,0.52,0.94,EGR Valve Problem
Car,Diesel,BS4,0.6,459,0.24,0.018,0.55,0.85,Turbocharger Issue
Car,Diesel,BS4,0.49,445,0.18,0.008,0.6,1.07,EGR Valve Problem
Car,Petrol,BS4,0.62,515,0.15,0.009,0.32,0.8,Fuel Injector Issue
Car,Petrol,BS4,0.44,375,0.15,0.011,0.5,1.05,Injector Problem
Car,Petrol,BS6,0.11,101,0.01,0.002,0.62,1.02,Normal
Car,Petrol,BS4,0.44,277,0.09,0.003,0.71,1.08,Air Filter Clogged
Car,Diesel,BS6,0.13,116,0.01,0.001,0.57,1.0,Normal
Car,Diesel,BS4,0.25,174,0.02,0.003,0.56,1.01,Normal
Car,Petrol,BS6,0.45,299,0.15,0.006,0.5,0.98,EGR Valve Problem
Car,Petrol,BS6,0.58,357,0.17,0.015,0.44,0.75,Rich Fuel Mixture
Car,Petrol,BS6,0.59,412,0.23,0.011,0.57,1.07,Injector Problem
Car,Diesel,BS4,0.6,444,0.21,0.012,0.68,0.96,Air Filter Clogged
Car,Petrol,BS6,0.51,477,0.22,0.014,0.51,1.02,Turbocharger Issue
Car,Petrol,BS4,0.46,385,0.11,0.01,0.64,1.02,DPF Clogging
Car,Petrol,BS4,0.58,259,0.16,0.014,0.48,0.98,Turbocharger Issue
Car,Petrol,BS4,0.59,236,0.09,0.007,0.45,1.02,DPF Clogging
Car,Diesel,BS4,0.32,515,0.09,0.006,0.59,1.19,Spark Plug Issue
Car,Petrol,BS6,0.46,321,0.13,0.005,0.78,0.93,Air Filter Clogged
Car,Petrol,BS6,0.34,632,0.11,0.003,0.81,1.02,Spark Plug Issue
Car,Diesel,BS6,0.74,437,0.11,0.003,0.86,1.08,Spark Plug Issue
Car,Diesel,BS6,0.71,569,0.09,0.004,0.83,1.26,Spark Plug Issue
Car,Petrol,BS4,0.51,533,0.05,0.004,0.54,1.2,Spark Plug Issue
Car,Diesel,BS6,0.54,432,0.13,0.011,0.39,0.94,Air Filter Clogged
Car,Diesel,BS6,0.57,271,0.17,0.023,0.55,1.01,Injector Problem
Car,Petrol,BS6,0.67,490,0.19,0.015,0.43,0.88,Turbocharger Issue
Car,Petrol,BS6,0.57,436,0.22,0.017,0.54,0.93,Turbocharger Issue
Car,Diesel,BS4,0.62,295,0.22,0.018,0.69,0.96,Injector Problem
Car,Diesel,BS4,0.56,339,0.19,0.019,0.71,0.98,Injector Problem
Car,Petrol,BS6,0.46,450,0.12,0.013,0.62,0.91,Air Filter Clogged
Car,Diesel,BS6,0.44,244,0.17,0.003,0.33,1.03,DPF Clogging
Car,Petrol,BS4,0.44,344,0.19,0.005,0.73,1.18,EGR Valve Problem
Car,Diesel,BS4,0.59,424,0.09,0.006,0.71,1.2,DPF Clogging
Car,Petrol,BS6,0.37,172,0.02,0.001,0.57,0.99,Normal
Car,Petrol,BS4,0.76,321,0.13,0.014,0.44,0.78,Rich Fuel Mixture
Car,Petrol,BS6,0.62,270,0.13,0.01,0.43,0.98,Turbocharger Issue
Car,Diesel,BS4,0.31,580,0.07,0.008,0.79,1.21,Spark Plug Issue
Car,Petrol,BS6,0.61,480,0.15,0.003,0.68,1.11,Engine Misfire
Car,Petrol,BS4,0.44,390,0.23,0.021,0.77,0.85,Injector Problem
Car,Diesel,BS6,0.44,203,0.2,0.009,0.3,0.93,DPF Clogging
Car,Petrol,BS6,0.85,473,0.09,0.019,0.25,0.94,Rich Fuel Mixture
Car,Petrol,BS6,0.43,500,0.23,0.013,0.76,1.0,Injector Problem
Car,Diesel,BS4,0.44,454,0.08,0.003,0.51,1.04,Spark Plug Issue
Car,Diesel,BS6,0.55,249,0.17,0.009,0.76,1.1,EGR Valve Problem
Car,Diesel,BS6,0.37,53,0.04,0.001,0.61,1.03,Normal
Car,Diesel,BS4,0.25,157,0.04,0.003,0.57,1.05,Normal
Car,Diesel,BS4,0.71,616,0.14,0.002,0.64,1.19,Spark Plug Issue
Car,Petrol,BS6,0.22,132,0.03,0.002,0.33,1.02,Normal
Car,Petrol,BS6,0.65,256,0.13,0.008,0.79,1.06,EGR Valve Problem
Car,Petrol,BS4,0.59,479,0.15,0.005,0.68,1.15,Air Filter Clogged
Car,Petrol,BS4,0.46,326,0.17,0.014,0.33,0.93,EGR Valve Problem
Car,Petrol,BS4,0.72,453,0.1,0.01,0.27,0.81,Fuel Injector Issue
Car,Petrol,BS4,0.46,448,0.13,0.004,0.3,1.11,Air Filter Clogged
Car,Petrol,BS6,0.54,368,0.1,0.021,0.58,1.06,Turbocharger Issue
Car,Petrol,BS4,0.57,374,0.18,0.019,0.63,1.07,Turbocharger Issue
Car,Petrol,BS6,0.44,464,0.12,0.009,0.48,1.04,DPF Clogging
Car,Diesel,BS6,0.63,265,0.14,0.014,0.48,0.95,Air Filter Clogged
Car,Petrol,BS6,0.84,354,0.18,0.01,0.31,0.83,Rich Fuel Mixture
Car,Petrol,BS6,0.5,394,0.2,0.003,0.51,1.12,EGR Valve Problem
Car,Diesel,BS4,0.64,475,0.14,0.004,0.69,1.06,Spark Plug Issue
Car,Petrol,BS4,0.52,505,0.11,0.011,0.34,0.82,Rich Fuel Mixture
Car,Petrol,BS6,0.87,592,0.14,0.015,0.37,0.9,Fuel Injector Issue
Car,Petrol,BS4,0.57,332,0.16,0.008,0.23,0.77,Rich Fuel Mixture
Car,Petrol,BS4,0.14,65,0.02,0.003,0.62,1.03,Normal
Car,Diesel,BS4,0.49,476,0.06,0.009,0.75,1.18,Spark Plug Issue
Car,Diesel,BS4,0.63,461,0.15,0.017,0.23,0.87,Fuel Injector Issue
Car,Diesel,BS4,0.55,346,0.16,0.018,0.39,0.8,Fuel Injector Issue
Car,Petrol,BS4,0.53,439,0.13,0.004,0.62,1.15,Engine Misfire
Car,Diesel,BS4,0.57,425,0.11,0.023,0.45,0.86,Injector Problem
Car,Diesel,BS4,0.44,499,0.11,0.015,0.69,1.04,Injector Problem
Car,Petrol,BS4,0.56,469,0.09,0.005,0.88,1.1,Engine Misfire
Car,Diesel,BS4,0.63,390,0.22,0.011,0.51,1.0,Injector Problem
Car,Diesel,BS4,0.12,184,0.04,0.002,0.59,1.02,Normal
Car,Petrol,BS6,0.57,202,0.16,0.012,0.38,0.96,DPF Clogging
Car,Diesel,BS4,0.6,472,0.14,0.01,0.22,0.8,Fuel Injector Issue
Car,Diesel,BS4,0.83,328,0.16,0.015,0.21,0.84,Rich Fuel Mixture
Car,Diesel,BS6,0.56,301,0.1,0.009,0.32,1.16,Air Filter Clogged
Car,Petrol,BS6,0.63,258,0.12,0.011,0.61,1.13,DPF Clogging
Car,Petrol,BS4,0.81,426,0.12,0.013,0.41,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.85,432,0.1,0.013,0.28,0.89,Fuel Injector Issue
Car,Petrol,BS6,0.39,542,0.11,0.008,0.74,1.1,Spark Plug Issue
Car,Petrol,BS4,0.66,470,0.1,0.004,0.58,1.11,EGR Valve Problem
Car,Petrol,BS4,0.68,414,0.18,0.023,0.49,0.96,Injector Problem
Car,Petrol,BS6,0.64,343,0.16,0.004,0.54,0.91,EGR Valve Problem
Car,Petrol,BS4,0.44,432,0.2,0.012,0.65,1.08,Turbocharger Issue
Car,Petrol,BS6,0.44,499,0.08,0.009,0.59,1.19,Spark Plug Issue
Car,Petrol,BS4,0.72,549,0.07,0.009,0.85,1.01,Spark Plug Issue
Car,Petrol,BS6,0.54,309,0.16,0.014,0.51,1.09,Injector Problem
Car,Diesel,BS4,0.61,321,0.08,0.008,0.76,1.08,EGR Valve Problem
Car,Diesel,BS6,0.41,636,0.12,0.008,0.76,1.18,Engine Misfire
Car,Diesel,BS4,0.5,315,0.23,0.015,0.73,1.01,Turbocharger Issue
Car,Petrol,BS4,0.55,314,0.11,0.013,0.46,1.19,EGR Valve Problem
Car,Diesel,BS4,0.53,676,0.14,0.006,0.66,1.11,Spark Plug Issue
Car,Diesel,BS6,0.25,171,0.01,0.003,0.62,1.0,Normal
Car,Petrol,BS4,0.54,462,0.16,0.013,0.27,0.8,Fuel Injector Issue
Car,Diesel,BS6,0.67,571,0.19,0.007,0.34,0.87,Fuel Injector Issue
Car,Diesel,BS4,0.41,449,0.14,0.014,0.46,0.91,Turbocharger Issue
Car,Petrol,BS4,0.58,338,0.2,0.012,0.4,1.08,EGR Valve Problem
Car,Petrol,BS6,0.43,264,0.17,0.013,0.31,1.03,EGR Valve Problem
Car,Petrol,BS6,0.52,609,0.11,0.006,0.76,1.2,Engine Misfire
Car,Petrol,BS6,0.59,400,0.18,0.014,0.51,1.13,EGR Valve Problem
Car,Diesel,BS6,0.35,71,0.02,0.002,0.51,0.99,Normal
Car,Diesel,BS6,0.66,408,0.15,0.013,0.79,1.03,DPF Clogging
Car,Petrol,BS4,0.59,494,0.08,0.014,0.32,0.85,Fuel Injector Issue
Car,Petrol,BS6,0.56,267,0.11,0.025,0.66,0.91,Turbocharger Issue
Car,Diesel,BS4,0.31,572,0.06,0.009,0.57,1.09,Engine Misfire
Car,Petrol,BS6,0.14,131,0.04,0.001,0.34,0.98,Normal
Car,Petrol,BS6,0.74,547,0.1,0.007,0.9,1.2,Engine Misfire
Car,Diesel,BS6,0.65,257,0.2,0.013,0.56,1.18,Air Filter Clogged
Car,Petrol,BS4,0.36,693,0.1,0.006,0.63,1.2,Engine Misfire
Car,Diesel,BS6,0.2,183,0.01,0.002,0.46,1.05,Normal
Car,Diesel,BS4,0.86,405,0.15,0.019,0.24,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.26,144,0.04,0.002,0.58,1.01,Normal
Car,Diesel,BS6,0.48,337,0.13,0.01,0.4,0.98,Air Filter Clogged
Car,Diesel,BS4,0.52,519,0.1,0.008,0.68,1.05,Engine Misfire
Car,Diesel,BS6,0.85,367,0.16,0.015,0.48,0.89,Rich Fuel Mixture
Car,Petrol,BS4,0.63,555,0.17,0.006,0.47,0.81,Rich Fuel Mixture
Car,Petrol,BS4,0.68,473,0.11,0.004,0.68,1.0,EGR Valve Problem
Car,Diesel,BS6,0.41,248,0.1,0.008,0.63,1.04,EGR Valve Problem
Car,Petrol,BS6,0.66,318,0.22,0.022,0.71,0.98,Injector Problem
Car,Petrol,BS6,0.44,483,0.1,0.009,0.89,1.08,Spark Plug Issue
Car,Petrol,BS6,0.4,428,0.24,0.019,0.53,0.89,Injector Problem
Car,Diesel,BS4,0.61,518,0.09,0.019,0.21,0.92,Fuel Injector Issue
Car,Diesel,BS6,0.63,293,0.18,0.004,0.59,0.92,Air Filter Clogged
Car,Diesel,BS4,0.43,449,0.12,0.012,0.79,1.08,DPF Clogging
Car,Petrol,BS4,0.42,584,0.08,0.003,0.8,1.09,Engine Misfire
Car,Petrol,BS4,0.44,697,0.05,0.005,0.78,1.13,Spark Plug Issue
Car,Petrol,BS6,0.45,477,0.15,0.012,0.81,0.91,Air Filter Clogged
Car,Petrol,BS4,0.71,559,0.12,0.012,0.49,0.9,Rich Fuel Mixture
Car,Petrol,BS6,0.31,698,0.06,0.002,0.63,1.11,Spark Plug Issue
Car,Diesel,BS6,0.45,327,0.14,0.013,0.72,0.94,Air Filter Clogged
Car,Diesel,BS4,0.58,406,0.1,0.018,0.38,0.94,Fuel Injector Issue
Car,Petrol,BS4,0.37,679,0.07,0.004,0.75,1.24,Engine Misfire
Car,Petrol,BS4,0.57,441,0.11,0.018,0.78,0.94,Injector Problem
Car,Diesel,BS4,0.51,221,0.15,0.015,0.71,1.0,Air Filter Clogged
Car,Petrol,BS4,0.67,431,0.18,0.009,0.38,1.03,DPF Clogging
Car,Petrol,BS4,0.64,442,0.12,0.009,0.59,1.07,Spark Plug Issue
Car,Petrol,BS6,0.39,203,0.05,0.002,0.5,0.99,Normal
Car,Petrol,BS6,0.51,213,0.12,0.01,0.46,0.95,EGR Valve Problem
Car,Diesel,BS6,0.54,336,0.17,0.011,0.28,0.8,Fuel Injector Issue
Car,Petrol,BS4,0.64,465,0.14,0.014,0.52,1.18,EGR Valve Problem
Car,Petrol,BS4,0.65,353,0.12,0.011,0.73,1.03,Turbocharger Issue
Car,Diesel,BS4,0.43,373,0.22,0.017,0.56,0.96,Turbocharger Issue
Car,Diesel,BS4,0.62,459,0.09,0.004,0.68,1.15,Engine Misfire
Car,Petrol,BS6,0.56,367,0.18,0.006,0.39,0.92,Air Filter Clogged
Car,Petrol,BS6,0.41,428,0.23,0.014,0.67,1.01,Turbocharger Issue
Car,Petrol,BS4,0.51,524,0.16,0.011,0.43,0.8,Rich Fuel Mixture
Car,Petrol,BS6,0.78,408,0.08,0.015,0.25,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.58,301,0.13,0.011,0.8,1.0,DPF Clogging
Car,Petrol,BS6,0.66,280,0.11,0.004,0.62,0.97,Air Filter Clogged
Car,Diesel,BS4,0.8,467,0.11,0.007,0.35,0.8,Fuel Injector Issue
Car,Petrol,BS4,0.55,261,0.11,0.019,0.77,1.02,Injector Problem
Car,Petrol,BS4,0.57,673,0.06,0.009,0.53,1.28,Spark Plug Issue
Car,Petrol,BS4,0.59,420,0.16,0.016,0.71,0.92,Injector Problem
Car,Petrol,BS4,0.45,360,0.09,0.011,0.53,1.08,Air Filter Clogged
Car,Diesel,BS6,0.6,322,0.18,0.012,0.62,0.97,Air Filter Clogged
Car,Diesel,BS4,0.59,342,0.1,0.01,0.43,0.79,Fuel Injector Issue
Car,Petrol,BS6,0.81,555,0.16,0.005,0.47,0.84,Fuel Injector Issue
Car,Diesel,BS6,0.52,338,0.18,0.012,0.64,1.06,DPF Clogging
Car,Petrol,BS4,0.65,520,0.15,0.011,0.27,0.81,Rich Fuel Mixture
Car,Diesel,BS6,0.61,410,0.15,0.014,0.57,1.01,Injector Problem
Car,Diesel,BS6,0.68,420,0.19,0.021,0.69,0.87,Injector Problem
Car,Diesel,BS4,0.67,303,0.17,0.014,0.52,1.18,EGR Valve Problem
Car,Diesel,BS4,0.78,630,0.06,0.002,0.82,1.1,Spark Plug Issue
Car,Petrol,BS6,0.43,83,0.05,0.0,0.48,1.0,Normal
Car,Diesel,BS6,0.43,276,0.14,0.017,0.78,1.06,Injector Problem
Car,Petrol,BS6,0.77,680,0.12,0.005,0.63,1.18,Spark Plug Issue
Car,Diesel,BS4,0.52,378,0.09,0.015,0.51,0.99,DPF Clogging
Car,Petrol,BS4,0.6,355,0.14,0.012,0.52,0.95,Injector Problem
Car,Diesel,BS6,0.41,261,0.16,0.011,0.59,1.19,Air Filter Clogged
Car,Petrol,BS6,0.57,274,0.12,0.022,0.69,0.85,Injector Problem
Car,Petrol,BS4,0.42,256,0.12,0.013,0.62,1.02,Injector Problem
